What do you think would be an appropriate percentage of your municipal tax bill to go towards these facilities and services?,,,
,,,
Respondents,Response Date,Responses,Tags
160,Aug 02 2021 12:44 PM,"Not sure, but maybe the average tax payer could contribute about $80 per year",
161,Aug 02 2021 12:40 PM,20,
162,Aug 02 2021 12:25 PM,3%,
163,Aug 02 2021 12:12 PM,I dont feel qualified to answer this. ,
164,Aug 02 2021 12:11 PM,Not up on the budget enough to weigh in,
165,Aug 02 2021 11:48 AM,2.5,
166,Aug 02 2021 11:30 AM,5%,
167,Aug 02 2021 11:22 AM,4%,
168,Aug 02 2021 11:12 AM,5%,
169,Aug 02 2021 11:10 AM,3+,
170,Aug 02 2021 11:10 AM,3,
171,Aug 02 2021 11:04 AM,5%,
172,Aug 02 2021 11:02 AM,5%,
173,Aug 02 2021 11:00 AM,5,
174,Aug 02 2021 10:25 AM,??,
175,Aug 02 2021 10:19 AM,"Not sure, but $55/year does not seem like anywhere close to enough !",
176,Aug 02 2021 10:13 AM,5%,
177,Aug 02 2021 09:01 AM,2,
178,Aug 02 2021 07:42 AM,1%,
179,Aug 01 2021 06:33 PM,Current,
180,Aug 01 2021 05:54 PM,5%,
181,Aug 01 2021 05:37 PM,No idsea,
182,Aug 01 2021 05:25 PM,4-5%,
183,Aug 01 2021 04:38 PM,not sure,
184,Aug 01 2021 04:17 PM,5%,
185,Aug 01 2021 04:09 PM,Na,
186,Aug 01 2021 03:37 PM,$155 ,
187,Aug 01 2021 03:33 PM,Not a Montpelier taxpayer so can’t comfortably answer this question ,
188,Aug 01 2021 01:47 PM,4.2,
189,Aug 01 2021 12:54 PM,2.20%,
190,Aug 01 2021 12:20 PM,5%,
191,Aug 01 2021 12:02 PM,5%,
192,Aug 01 2021 11:07 AM,3-4%,
193,Aug 01 2021 10:59 AM,15%,
194,Aug 01 2021 10:19 AM,?,
195,Aug 01 2021 09:21 AM,Until you have playgrounds it should be less .5 as there is nothing you are actually investing in,
196,Aug 01 2021 09:01 AM,5%,
197,Jul 31 2021 09:52 PM,2.20%,
198,Jul 31 2021 09:09 PM,7%,
199,Jul 31 2021 04:38 PM,don't have enough context or data to give an informed answer this question,
200,Jul 31 2021 02:42 PM,don't know,
201,Jul 31 2021 02:37 PM,"2.2%, would be okay with increasing percentage slightly if overall taxes remain the same (ie reduce expenditures in other places).",
202,Jul 31 2021 02:36 PM,"3-4 percent, but net cost neutral by reducing expenditures in other areas",
203,Jul 31 2021 02:24 PM,3%It would be so ,
204,Jul 31 2021 10:56 AM,5-10%,
205,Jul 31 2021 10:34 AM,"Not a lot more, but maybe just a little more.",
206,Jul 31 2021 10:12 AM,6%,
207,Jul 31 2021 10:03 AM,4%,
208,Jul 31 2021 10:01 AM,2,
209,Jul 31 2021 09:13 AM,i do not know,
210,Jul 30 2021 08:55 PM,5%,
211,Jul 30 2021 08:29 PM,5-8 percent,
212,Jul 30 2021 07:42 PM,5%,
213,Jul 30 2021 06:20 PM,7.30%,
214,Jul 30 2021 06:12 PM,5%,
215,Jul 30 2021 06:12 PM,3,
216,Jul 30 2021 06:05 PM,2.5,
217,Jul 30 2021 06:04 PM,3.00%,
218,Jul 30 2021 05:14 PM,4,
219,Jul 30 2021 04:55 PM,4%,
220,Jul 30 2021 04:48 PM,5%,
221,Jul 30 2021 03:50 PM,3%,
222,Jul 30 2021 03:37 PM,20%,
223,Jul 30 2021 03:36 PM,2.50%,
224,Jul 30 2021 02:59 PM,"I have not looked at the overall budget, no analyzed the various expenditures to provide an informed answer.",
225,Jul 30 2021 02:53 PM,"I think the current level is good, but would be willing to pay more. The recreation options are part of what makes Montpelier special ",
226,Jul 30 2021 02:28 PM,I think we are at an appropriate level.,
227,Jul 30 2021 02:19 PM,i am not qualified to guess that without seeing a lot of numbers,
228,Jul 30 2021 01:41 PM,2%,
229,Jul 30 2021 12:36 PM,3.2,
230,Jul 30 2021 12:25 PM,2%,
231,Jul 30 2021 12:23 PM,not sure,
232,Jul 30 2021 11:47 AM,4.40%,
233,Jul 30 2021 11:35 AM,0%,
234,Jul 30 2021 11:30 AM,3%,
235,Jul 30 2021 10:55 AM,Not sure but I am happy to pay more than $55 a year,
236,Jul 30 2021 10:52 AM,2%,
237,Jul 30 2021 10:42 AM,3%,
238,Jul 30 2021 10:35 AM,5,
239,Jul 30 2021 10:08 AM,I don’t know ,
240,Jul 30 2021 09:47 AM,5,
241,Jul 30 2021 09:18 AM,Leave as is.,
242,Jul 30 2021 07:59 AM,5%,
243,Jul 30 2021 07:05 AM,2.2,
244,Jul 30 2021 07:04 AM,15%,
245,Jul 30 2021 05:49 AM,3-4%,
246,Jul 29 2021 09:35 PM,Don’t know ,
247,Jul 29 2021 09:09 PM,15,
248,Jul 29 2021 08:32 PM,2.5-2.65,
249,Jul 29 2021 08:23 PM,Don’t know,
250,Jul 29 2021 07:36 PM,No change,
251,Jul 29 2021 06:46 PM,4%,
252,Jul 29 2021 05:59 PM,It is impossible to answer this question and the last without knowing how the money is spent and/or knowing if there are gaps as identified by those that service the parks.,
253,Jul 29 2021 05:52 PM,5,
254,Jul 29 2021 04:50 PM,5%,
255,Jul 29 2021 04:41 PM,4,
256,Jul 29 2021 04:33 PM,2.5,
257,Jul 29 2021 04:25 PM,Not sure,
258,Jul 29 2021 04:04 PM,2-3%,
259,Jul 29 2021 03:48 PM,Not interested in paying more taxes,
260,Jul 29 2021 03:08 PM,2.20%,
261,Jul 29 2021 02:52 PM,1%,
262,Jul 29 2021 02:07 PM,5%,
263,Jul 29 2021 02:00 PM,?,
264,Jul 29 2021 02:00 PM,5-10%,
265,Jul 29 2021 12:39 PM,8,
266,Jul 29 2021 12:17 PM,2.2,
267,Jul 29 2021 12:02 PM,5%,
268,Jul 29 2021 11:14 AM,2.20%,
269,Jul 29 2021 11:13 AM,3%,
270,Jul 29 2021 11:12 AM,3%,
271,Jul 29 2021 10:53 AM,I don’t feel qualified to answer this. I am not certain how the budget is spent. 2.2 percent seems low for a huge community benefit though.,
272,Jul 29 2021 10:53 AM,10,
273,Jul 29 2021 09:46 AM,5%,
274,Jul 29 2021 09:39 AM,5%?,
275,Jul 29 2021 08:45 AM,?,
276,Jul 29 2021 06:48 AM,1.5,
277,Jul 29 2021 06:19 AM,None! Our taxes are too high,
278,Jul 29 2021 06:15 AM,3%,
279,Jul 29 2021 12:40 AM,20%,
280,Jul 28 2021 11:26 PM,2,
281,Jul 28 2021 10:37 PM,3,
282,Jul 28 2021 10:15 PM,Up to 5%,
283,Jul 28 2021 10:04 PM,4%,
284,Jul 28 2021 10:03 PM,$65 ,
285,Jul 28 2021 09:56 PM,25,
286,Jul 28 2021 09:43 PM,I don’t know,
287,Jul 28 2021 09:19 PM,2.5,
288,Jul 28 2021 09:13 PM,5%,
289,Jul 28 2021 08:40 PM,$100 ,
290,Jul 28 2021 08:38 PM,Very small amount - Montpelier taxes are way too high,
291,Jul 28 2021 08:19 PM,5%,
292,Jul 28 2021 08:12 PM,3%,
293,Jul 28 2021 07:51 PM,3-5% including personnel,
294,Jul 28 2021 07:48 PM,3,
295,Jul 28 2021 07:34 PM,8-10%,
296,Jul 28 2021 07:24 PM,2.2,
297,Jul 28 2021 07:19 PM,2.5,
298,Jul 26 2021 10:34 PM,5%,
299,Jul 26 2021 04:39 PM,3.5,
300,Jul 26 2021 12:48 PM,3%,
301,Jul 26 2021 09:28 AM,4%,
302,Jul 26 2021 08:19 AM,5%,
303,Jul 26 2021 07:56 AM,7or8%,
304,Jul 26 2021 06:16 AM,This question should be directed to the experienced employees who handles the yearly expenses for parks,
305,Jul 25 2021 01:47 PM,5%,
306,Jul 24 2021 07:07 PM,3%,
307,Jul 24 2021 08:37 AM,5,
308,Jul 23 2021 06:24 PM,5-10%,
309,Jul 23 2021 03:42 PM,3.5,
310,Jul 23 2021 03:18 PM,No idea,
311,Jul 23 2021 02:37 PM,4-5%,
312,Jul 23 2021 12:12 PM,6-8%,
313,Jul 23 2021 11:46 AM,5%,
314,Jul 23 2021 09:32 AM,5%,
315,Jul 23 2021 07:49 AM,5 percent,
316,Jul 23 2021 07:28 AM,5,
317,Jul 23 2021 06:57 AM,At least 3 percent,
318,Jul 22 2021 10:31 PM,3% would be okay,
319,Jul 22 2021 09:47 PM,5%,
320,Jul 22 2021 09:04 PM,2.50%,
321,Jul 22 2021 08:32 PM,i think the amount now is good. Perhaps there could be fundraising events to raise $ for special projects.,
322,Jul 22 2021 12:12 PM,5%,
323,Jul 22 2021 12:04 PM,8%,
324,Jul 22 2021 10:43 AM,3,
325,Jul 21 2021 09:31 AM,3-5% ,
326,Jul 21 2021 09:31 AM,2.50%,
327,Jul 20 2021 06:40 PM,I am not sure ,
328,Jul 20 2021 02:33 PM,5,
329,Jul 20 2021 02:07 PM,Approximately 2.2% maybe 3% ,
330,Jul 20 2021 10:04 AM,3%,
331,Jul 20 2021 09:08 AM,I don’t know ,
332,Jul 20 2021 07:38 AM,2%,
333,Jul 20 2021 06:38 AM,4%,
334,Jul 20 2021 12:20 AM,The spaces are well kept and well equipped. Seems like we are doing a good job with current funds but wide open to make additional funds from holding events.,
335,Jul 19 2021 10:59 PM,5-10%,
336,Jul 19 2021 10:35 PM,no idea / no context,
337,Jul 19 2021 10:22 PM,3.50%,
338,Jul 19 2021 10:05 PM,$100/around 4%,
339,Jul 19 2021 09:57 PM,3%,
340,Jul 19 2021 09:42 PM,????,
341,Jul 19 2021 08:39 PM,Not sure.,
342,Jul 19 2021 07:49 PM,at least 4%,
343,Jul 19 2021 05:54 PM,???,
344,Jul 19 2021 05:50 PM,5%,
345,Jul 19 2021 05:23 PM,3%,
346,Jul 19 2021 04:10 PM,2,
347,Jul 19 2021 03:05 PM,3,
348,Jul 19 2021 02:43 PM,3%,
349,Jul 19 2021 02:30 PM,4%,
350,Jul 19 2021 01:40 PM,3%,
351,Jul 19 2021 01:08 PM,3%,
352,Jul 19 2021 01:00 PM,"I think we should increase funding to the parks, but not as an additional increase to the overall budget but as a reallocation of some other budget items recognizing that the park are an extremely important and crucial part of the city.",
353,Jul 19 2021 09:34 AM,2.5,
354,Jul 19 2021 08:58 AM,2%,
355,Jul 19 2021 08:25 AM,4,
356,Jul 19 2021 07:49 AM,? ,
357,Jul 19 2021 07:43 AM,Reduce spending in other parts of the budget.,
358,Jul 19 2021 05:16 AM,0,
359,Jul 19 2021 04:03 AM,10%,
360,Jul 18 2021 10:43 PM,Equal to what is spent on hard surfaced land,
361,Jul 18 2021 10:16 PM,2-5%,
362,Jul 18 2021 09:59 PM,18,
363,Jul 18 2021 09:55 PM,10%,
364,Jul 18 2021 09:36 PM,3.5 percent,
365,Jul 18 2021 08:39 PM,5%,
366,Jul 18 2021 07:41 PM,Not sure,
367,Jul 18 2021 06:04 PM,3,
368,Jul 18 2021 05:06 PM,10%,
369,Jul 18 2021 03:13 PM,Depends on what additional facilities or services are proposed. I would be willing to pay more taxes for more services.,
370,Jul 18 2021 01:16 PM,3%,
371,Jul 18 2021 10:09 AM,?,
372,Jul 17 2021 08:01 PM,Not a municipal tax payer in Montpelier,
373,Jul 17 2021 06:40 PM,4.50%,
374,Jul 17 2021 01:56 PM,5%,
375,Jul 17 2021 12:34 PM,I think this is appropriate at this time. School budgeting needs a closer look for this area to remain accessible to non-affluent people. ,
376,Jul 16 2021 08:28 PM,no idea and honestly could not care less,
377,Jul 16 2021 10:06 AM,"for 5%, but I have more to spend.  I'd love to see a way where people could voluntarily pay more to support the parks",
378,Jul 16 2021 08:18 AM,"Good as is, need to make do",
379,Jul 16 2021 08:15 AM,At least double it. 5%,
380,Jul 16 2021 07:25 AM,5 percent,
381,Jul 15 2021 10:41 PM,2.2% - actually I’d like to hear what the Parks and Recreation Dept staff think,
382,Jul 15 2021 09:17 PM,5%,
383,Jul 15 2021 09:16 PM,I don’t know,
384,Jul 15 2021 08:54 PM,4%,
385,Jul 15 2021 08:35 PM,2.2,
386,Jul 15 2021 08:13 PM,3%,
387,Jul 15 2021 07:39 PM,About $100 per tax payer.,
388,Jul 15 2021 07:04 PM,Not sure how much more money is needed.  Maybe 3 percent. Fixing our roads is the first priority ,
389,Jul 15 2021 05:11 PM,"3 to 4 %.  Easily.  My property taxes on college street are 16,000 dollars and to know that more money could go to something like parks or outdoor recreation—especially in the winter?  Yeah, sign me up.  This is a drop in the bucket. ",
390,Jul 15 2021 10:43 AM,4%,
391,Jul 14 2021 08:55 PM,3,
392,Jul 14 2021 08:00 PM,Based on my usage I would advocate for at least 5%,
393,Jul 14 2021 12:56 PM,"As long as the $ go to advertising the Mtplr facility and not the overhead of superfluous personnel, 1%",
394,Jul 13 2021 01:45 PM,Same,
395,Jul 13 2021 11:14 AM,I don’t know,
396,Jul 13 2021 11:04 AM,N/A,
397,Jul 12 2021 05:58 PM,5%,
398,Jul 12 2021 05:57 PM,Not sure,
399,Jul 12 2021 05:29 PM,??,
400,Jul 12 2021 02:00 PM,5%,
401,Jul 12 2021 01:40 PM,4%,
402,Jul 12 2021 10:23 AM,10,
403,Jul 12 2021 08:49 AM,na,
404,Jul 11 2021 09:17 PM,5,
405,Jul 11 2021 06:06 PM,Since we are such an outdoor state it seems like at least 5% would be appropriate,
406,Jul 11 2021 02:18 PM,10%,
407,Jul 11 2021 12:28 PM,2.30%,
408,Jul 11 2021 09:24 AM,5%,
409,Jul 10 2021 09:16 PM,2.5,
410,Jul 10 2021 09:02 PM,4%,
411,Jul 10 2021 07:11 PM,3-4 percent,
412,Jul 10 2021 05:35 PM,Maybe like 2.5,
413,Jul 10 2021 11:35 AM,"I have no idea how to answer this or the previous question. Parks are a very high priority for me. But even if we spent more I think it would still be a small slice of the budget, right? I mean, it’s paying for roads and salaries and health care that eat up the budget, and those are critical",
414,Jul 10 2021 09:10 AM,Na ,
415,Jul 10 2021 09:04 AM,3%,
416,Jul 09 2021 08:10 PM,0.5,
417,Jul 09 2021 05:28 PM,5%,
418,Jul 09 2021 03:14 PM,"Based on my usage, $55 is plenty",
419,Jul 09 2021 12:14 PM,2 - 3 %,
420,Jul 09 2021 11:00 AM,4%,
421,Jul 09 2021 09:30 AM,4%,
422,Jul 09 2021 08:46 AM,Could go up to 3% but depends on where the rest of it goes.,
423,Jul 09 2021 07:57 AM,5-7%,
424,Jul 09 2021 07:49 AM,5%,
425,Jul 09 2021 07:22 AM,Unsure ,
426,Jul 09 2021 07:11 AM,No sure,
427,Jul 09 2021 06:05 AM,3-5%,
428,Jul 09 2021 05:16 AM,3%,
429,Jul 09 2021 12:18 AM,2%,
430,Jul 08 2021 11:04 PM,5%,
431,Jul 08 2021 10:50 PM,0,
432,Jul 08 2021 09:34 PM,5,
433,Jul 08 2021 09:33 PM,2.5-3% would feel fine,
434,Jul 08 2021 09:28 PM,2.20%,
435,Jul 08 2021 09:21 PM,4%,
436,Jul 08 2021 09:06 PM,4% maybe?,
437,Jul 08 2021 09:02 PM,?,
438,Jul 08 2021 09:01 PM,This is a BS question for budget wonks that most people cannot intelligently relate to.,
439,Jul 08 2021 08:51 PM,2.2 seems fair ,
440,Jul 08 2021 08:49 PM,I am a Berlin resident.,
441,Jul 08 2021 08:44 PM,1.70%,
442,Jul 08 2021 08:33 PM,3-4%,
443,Jul 08 2021 08:15 PM,Same as it is,
444,Jul 08 2021 07:18 PM,Don’t know.,
445,Jul 08 2021 03:23 PM,2-3%,
446,Jul 08 2021 03:00 PM,I don't know,
447,Jul 08 2021 02:53 PM,I’m fine with the current allocation. ,
448,Jul 08 2021 02:45 PM,Same,
449,Jul 08 2021 01:39 PM,It's hard to name a percentage but I would be willing to pay twice what you quoted for the average taxpayer.,
450,Jul 08 2021 01:18 PM,Don't have an opinion,
451,Jul 08 2021 12:49 PM,3.50%,
452,Jul 08 2021 12:07 PM,4%,
453,Jul 08 2021 10:29 AM,It’s obvious you want to change the parks to favor destructive and ride bikers,
454,Jul 08 2021 09:53 AM,I don't pay taxes in Montpelier,
455,Jul 08 2021 08:58 AM,5%,
456,Jul 08 2021 08:51 AM,Not sure,
457,Jul 08 2021 08:38 AM,5%,
458,Jul 08 2021 08:33 AM,3,
459,Jul 08 2021 06:04 AM,"I do not pay taxes in montpelier, so I do not feel it is my place to write a number",
460,Jul 08 2021 02:26 AM,3%,
461,Jul 08 2021 12:02 AM,200,
462,Jul 07 2021 11:00 PM,5%,
463,Jul 07 2021 09:49 PM,2.50%,
464,Jul 07 2021 08:32 PM,2.5,
465,Jul 07 2021 08:15 PM,2%,
466,Jul 07 2021 08:06 PM,What it currently is,
467,Jul 07 2021 07:44 PM,6%,
468,Jul 07 2021 07:36 PM,3%,
469,Jul 07 2021 07:27 PM,3,
470,Jul 07 2021 07:24 PM,"I’m happy to Pay more, but I can’t answer this question out of context of the rest of the budget.",
471,Jul 07 2021 06:15 PM,"Hard question. On one level, easy to say it should be higher than2.2%. Yet Montpelier’s muni taxes are too high, so it’s hard to answer the question without saying what should be cut and/or his base should be grown  ",
472,Jul 07 2021 06:01 PM,3%,
473,Jul 07 2021 04:37 PM,3-5%,
474,Jul 07 2021 04:34 PM,have no opinion,
475,Jul 07 2021 03:24 PM,2.50%,
476,Jul 07 2021 03:12 PM,double,
477,Jul 07 2021 03:11 PM,5%,
478,Jul 07 2021 03:08 PM,5%,
479,Jul 07 2021 03:05 PM,n/a,
480,Jul 07 2021 02:59 PM,At least 5%,
481,Jul 07 2021 02:13 PM,3%,
482,Jul 07 2021 02:10 PM,5%,
483,Jul 07 2021 02:09 PM,Not sure,
484,Jul 07 2021 02:04 PM,4%,
485,Jul 07 2021 01:57 PM,3%,
486,Jul 07 2021 01:44 PM,N/A,
487,Jul 07 2021 01:40 PM,Same?,
488,Jul 07 2021 01:32 PM,A bit more.,
489,Jul 07 2021 01:31 PM,2.2,
490,Jul 07 2021 01:30 PM,5,
491,Jul 07 2021 01:28 PM,8%,
492,Jul 07 2021 01:27 PM,3%,
493,Jul 07 2021 01:25 PM,3%,
494,Jul 07 2021 01:23 PM,this sounds just right,
495,Jul 07 2021 01:14 PM,4%,
496,Jul 07 2021 11:36 AM,I do not live in Montpeliuer.,
497,Jul 07 2021 09:55 AM,As a non-resident it feels irresponsible to answer,
498,Jul 07 2021 04:06 AM,5,
499,Jul 06 2021 03:18 PM,Same as above,
500,Jul 06 2021 02:43 PM,Idk,
501,Jul 06 2021 02:33 PM,3-4%,
502,Jul 06 2021 11:10 AM,3% but I don't think residents would be happy about any increase,
503,Jul 06 2021 09:47 AM,unsure - but a small increase is acceptable,
504,Jul 05 2021 06:28 PM,5%,
505,Jul 05 2021 12:01 PM,"I really don’t know. I value parks more than anything else. So to me it’s priceless. Whatever you need to maintain my them, I’d support. ",
506,Jul 05 2021 11:02 AM,$80 ,
507,Jul 05 2021 10:37 AM,3,
508,Jul 05 2021 10:26 AM,depends on usage. ,
509,Jul 05 2021 10:08 AM,2.20%,
510,Jul 05 2021 09:05 AM,the current %,
511,Jul 05 2021 07:45 AM,4.4,
512,Jul 04 2021 10:52 PM,5,
513,Jul 04 2021 08:49 PM,?,
514,Jul 04 2021 08:09 PM,3%,
515,Jul 04 2021 03:28 PM,I feel the current rate is fair and would hope that can be enough but if not then 2.5-3%,
516,Jul 04 2021 02:13 PM,2.5,
517,Jul 04 2021 02:05 PM,10%,
518,Jul 04 2021 10:26 AM,NA,
519,Jul 04 2021 10:08 AM,5%,
520,Jul 04 2021 09:58 AM,3%,
521,Jul 04 2021 09:40 AM,5% ? ,
522,Jul 04 2021 09:39 AM,5,
523,Jul 04 2021 08:17 AM,3%,
524,Jul 04 2021 08:13 AM,4%,
525,Jul 04 2021 07:45 AM,3,
526,Jul 04 2021 06:35 AM,5%,
527,Jul 03 2021 10:22 PM,5%,
528,Jul 03 2021 06:54 PM,2.5,
529,Jul 03 2021 04:57 PM,4%,
530,Jul 03 2021 04:52 PM,Same,
531,Jul 03 2021 03:17 PM,3%,
532,Jul 03 2021 02:41 PM,2.20%,
533,Jul 03 2021 02:39 PM,4%?,
